Gene	Gene description	Concentration
REG1A	Regenerating family member 1 alpha	61 µg/L
AXL	AXL receptor tyrosine kinase	61 µg/L
JUP	Junction plakoglobin	61 µg/L
STAB1	Stabilin 1	60 µg/L
GNB1	G protein subunit beta 1	60 µg/L
PGAM2	Phosphoglycerate mutase 2	60 µg/L
MYH14	Myosin heavy chain 14	59 µg/L
BLMH	Bleomycin hydrolase	59 µg/L
PGD	Phosphogluconate dehydrogenase	59 µg/L
PAM	Peptidylglycine alpha-amidating monooxygenase	59 µg/L
RELN	Reelin	59 µg/L
FAM3C	Family with sequence similarity 3 member C	59 µg/L
L1CAM	L1 cell adhesion molecule	59 µg/L
PLXND1	Plexin D1	58 µg/L
COL1A1	Collagen type I alpha 1 chain	58 µg/L
CHIT1	Chitinase 1	58 µg/L
NTM	Neurotrimin	58 µg/L
MMP9	Matrix metallopeptidase 9	57 µg/L
HSPB1	Heat shock protein family B (small) member 1	57 µg/L
MOB4	"MOB family member 4, phocein"	57 µg/L
SELENBP1	Selenium binding protein 1	57 µg/L
EEF1A2	Eukaryotic translation elongation factor 1 alpha 2	55 µg/L
FCGR2A	Fc fragment of IgG receptor IIa	55 µg/L
PLXNB1	Plexin B1	55 µg/L
CNTN3	Contactin 3	54 µg/L
SPP1	Secreted phosphoprotein 1	54 µg/L
FLNC	Filamin C	54 µg/L
RHOC	Ras homolog family member C	54 µg/L
SFN	Stratifin	54 µg/L
FUCA2	Alpha-L-fucosidase 2	53 µg/L
STXBP2	Syntaxin binding protein 2	53 µg/L
GNAI2	G protein subunit alpha i2	53 µg/L
ARPC1B	Actin related protein 2/3 complex subunit 1B	53 µg/L
WARS	Tryptophanyl-tRNA synthetase	53 µg/L
PDIA6	Protein disulfide isomerase family A member 6	53 µg/L
HSPD1	Heat shock protein family D (Hsp60) member 1	53 µg/L
IDH2	"Isocitrate dehydrogenase (NADP(+)) 2, mitochondrial"	53 µg/L
LILRB2	Leukocyte immunoglobulin like receptor B2	52 µg/L
CPQ	Carboxypeptidase Q	51 µg/L
CLTC	Clathrin heavy chain	51 µg/L
ATP5F1A	ATP synthase F1 subunit alpha	51 µg/L
HEPHL1	Hephaestin like 1	51 µg/L
PLXNB2	Plexin B2	51 µg/L
ADA2	Adenosine deaminase 2	50 µg/L
PLS1	Plastin 1	50 µg/L
SRGN	Serglycin	50 µg/L
CAPNS1	Calpain small subunit 1	50 µg/L
CKB	Creatine kinase B	50 µg/L
SERPINB1	Serpin family B member 1	49 µg/L
MYH1	Myosin heavy chain 1	49 µg/L
ARHGDIA	Rho GDP dissociation inhibitor alpha	49 µg/L
HSPA1L	Heat shock protein family A (Hsp70) member 1 like	49 µg/L
MTPN	Myotrophin	48 µg/L
TXNDC15	Thioredoxin domain containing 15	48 µg/L
KIT	KIT proto-oncogene receptor tyrosine kinase	48 µg/L
B4GAT1	"Beta-1,4-glucuronyltransferase 1"	48 µg/L
PGLYRP1	Peptidoglycan recognition protein 1	47 µg/L
ADAMTSL4	ADAMTS like 4	47 µg/L
MDH2	Malate dehydrogenase 2	47 µg/L
PAPLN	"Papilin, proteoglycan like sulfated glycoprotein"	46 µg/L
ITGA2	Integrin subunit alpha 2	46 µg/L
ITGA6	Integrin subunit alpha 6	45 µg/L
CAPZA1	Capping actin protein of muscle Z-line alpha subunit 1	45 µg/L
ANGPTL3	Angiopoietin like 3	45 µg/L
ART3	ADP-ribosyltransferase 3	45 µg/L
SPTA1	"Spectrin alpha, erythrocytic 1"	45 µg/L
RAC1	Rac family small GTPase 1	44 µg/L
ALAD	Aminolevulinate dehydratase	44 µg/L
SLC38A10	Solute carrier family 38 member 10	44 µg/L
SSC5D	Scavenger receptor cysteine rich family member with 5 domains	44 µg/L
HEXB	Hexosaminidase subunit beta	43 µg/L
SPTB	"Spectrin beta, erythrocytic"	43 µg/L
PODXL	Podocalyxin like	43 µg/L
CRHBP	Corticotropin releasing hormone binding protein	43 µg/L
B3GNT2	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"	43 µg/L
B3GNT8	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8"	43 µg/L
CDC42	Cell division cycle 42	42 µg/L
MYH2	Myosin heavy chain 2	42 µg/L
EHD3	EH domain containing 3	41 µg/L
MADCAM1	Mucosal vascular addressin cell adhesion molecule 1	41 µg/L
VIL1	Villin 1	41 µg/L
GPNMB	Glycoprotein nmb	41 µg/L
VSIG4	V-set and immunoglobulin domain containing 4	41 µg/L
F11R	F11 receptor	41 µg/L
CES1	Carboxylesterase 1	40 µg/L
CNN2	Calponin 2	39 µg/L
CSTA	Cystatin A	39 µg/L
TALDO1	Transaldolase 1	39 µg/L
SNX2	Sorting nexin 2	39 µg/L
TGFB1	Transforming growth factor beta 1	38 µg/L
ARPC3	Actin related protein 2/3 complex subunit 3	38 µg/L
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	38 µg/L
ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	38 µg/L
LAMA2	Laminin subunit alpha 2	38 µg/L
RAB27B	"RAB27B, member RAS oncogene family"	37 µg/L
GANAB	Glucosidase II alpha subunit	37 µg/L
RECK	Reversion inducing cysteine rich protein with kazal motifs	37 µg/L
FLNB	Filamin B	37 µg/L
ENPEP	Glutamyl aminopeptidase	37 µg/L
REG1B	Regenerating family member 1 beta	37 µg/L
CD84	CD84 molecule	36 µg/L
LILRB5	Leukocyte immunoglobulin like receptor B5	36 µg/L
SLC2A1	Solute carrier family 2 member 1	36 µg/L
CNTFR	Ciliary neurotrophic factor receptor	36 µg/L
FCRL5	Fc receptor like 5	36 µg/L
GNB2	G protein subunit beta 2	36 µg/L
CAPZB	Capping actin protein of muscle Z-line beta subunit	35 µg/L
CUTA	CutA divalent cation tolerance homolog	35 µg/L
PDGFRB	Platelet derived growth factor receptor beta	35 µg/L
AGO2	"Argonaute 2, RISC catalytic component"	35 µg/L
PEAR1	Platelet endothelial aggregation receptor 1	35 µg/L
CD99	CD99 molecule (Xg blood group)	34 µg/L
FAP	Fibroblast activation protein alpha	34 µg/L
CTTN	Cortactin	34 µg/L
IGDCC4	Immunoglobulin superfamily DCC subclass member 4	34 µg/L
RAC2	Rac family small GTPase 2	34 µg/L
CA6	Carbonic anhydrase 6	34 µg/L
PRCP	Prolylcarboxypeptidase	34 µg/L
A2ML1	Alpha-2-macroglobulin like 1	34 µg/L
KRT20	Keratin 20	34 µg/L
PDCD1LG2	Programmed cell death 1 ligand 2	34 µg/L
MYH4	Myosin heavy chain 4	34 µg/L
ANK1	Ankyrin 1	33 µg/L
SLC2A3	Solute carrier family 2 member 3	33 µg/L
SIRPB1	Signal regulatory protein beta 1	33 µg/L
ATRNL1	Attractin like 1	33 µg/L
TBXAS1	Thromboxane A synthase 1	32 µg/L
MEGF9	Multiple EGF like domains 9	32 µg/L
AK1	Adenylate kinase 1	32 µg/L
FSTL1	Follistatin like 1	32 µg/L
FABP1	Fatty acid binding protein 1	32 µg/L
MYH7	Myosin heavy chain 7	31 µg/L
CA3	Carbonic anhydrase 3	31 µg/L
CCDC126	Coiled-coil domain containing 126	31 µg/L
ATF6B	Activating transcription factor 6 beta	31 µg/L
COLEC11	Collectin subfamily member 11	30 µg/L
HIST1H4H	Histone cluster 1 H4 family member h	30 µg/L
FABP4	Fatty acid binding protein 4	30 µg/L
MAN2A2	Mannosidase alpha class 2A member 2	30 µg/L
HIST1H4C	Histone cluster 1 H4 family member c	30 µg/L
HIST1H4J	Histone cluster 1 H4 family member j	30 µg/L
HIST4H4	Histone cluster 4 H4	30 µg/L
HIST2H4B	Histone cluster 2 H4 family member b	30 µg/L
HIST2H4A	Histone cluster 2 H4 family member a	30 µg/L
HIST1H4K	Histone cluster 1 H4 family member k	30 µg/L
HIST1H4F	Histone cluster 1 H4 family member f	30 µg/L
HIST1H4L	Histone cluster 1 H4 family member l	30 µg/L
HIST1H4I	Histone cluster 1 H4 family member i	30 µg/L
HIST1H4E	Histone cluster 1 H4 family member e	30 µg/L
HIST1H4D	Histone cluster 1 H4 family member d	30 µg/L
HIST1H4A	Histone cluster 1 H4 family member a	30 µg/L
HIST1H4B	Histone cluster 1 H4 family member b	30 µg/L
TGFBR3	Transforming growth factor beta receptor 3	29 µg/L
SEMA7A	Semaphorin 7A (John Milton Hagen blood group)	29 µg/L
MERTK	"MER proto-oncogene, tyrosine kinase"	29 µg/L
DMKN	Dermokine	29 µg/L
ACTN3	Actinin alpha 3 (gene/pseudogene)	29 µg/L
MRC2	Mannose receptor C type 2	28 µg/L
CAPN1	Calpain 1	28 µg/L
AGA	Aspartylglucosaminidase	28 µg/L
GP6	Glycoprotein VI platelet	28 µg/L
COTL1	Coactosin like F-actin binding protein 1	28 µg/L
MANSC1	MANSC domain containing 1	28 µg/L
SPINK5	"Serine peptidase inhibitor, Kazal type 5"	28 µg/L
GNAQ	G protein subunit alpha q	28 µg/L
FBLN2	Fibulin 2	28 µg/L
FABP5	Fatty acid binding protein 5	28 µg/L
CSPG4	Chondroitin sulfate proteoglycan 4	28 µg/L
NME1	NME/NM23 nucleoside diphosphate kinase 1	28 µg/L
ACY1	Aminoacylase 1	28 µg/L
HMBS	Hydroxymethylbilane synthase	28 µg/L
PSMB3	Proteasome subunit beta 3	28 µg/L
RNH1	Ribonuclease/angiogenin inhibitor 1	27 µg/L
C1QTNF3	C1q and TNF related 3	27 µg/L
PPIF	Peptidylprolyl isomerase F	27 µg/L
PSMA1	Proteasome subunit alpha 1	27 µg/L
MEGF10	Multiple EGF like domains 10	27 µg/L
CD226	CD226 molecule	27 µg/L
ERAP1	Endoplasmic reticulum aminopeptidase 1	27 µg/L
CD248	CD248 molecule	27 µg/L
CR1	Complement C3b/C4b receptor 1 (Knops blood group)	27 µg/L
HLA-F	"Major histocompatibility complex, class I, F"	27 µg/L
RNASE4	Ribonuclease A family member 4	27 µg/L
SPON1	Spondin 1	27 µg/L
LASP1	LIM and SH3 protein 1	26 µg/L
PSMA7	Proteasome subunit alpha 7	26 µg/L
ATF6	Activating transcription factor 6	26 µg/L
SECTM1	Secreted and transmembrane 1	26 µg/L
GLUD1	Glutamate dehydrogenase 1	26 µg/L
GKN1	Gastrokine 1	26 µg/L
LEP	Leptin	26 µg/L
RAB1B	"RAB1B, member RAS oncogene family"	26 µg/L
GUCA2A	Guanylate cyclase activator 2A	26 µg/L
PTGS1	Prostaglandin-endoperoxide synthase 1	25 µg/L
PRR4	Proline rich 4 (lacrimal)	25 µg/L
TXN	Thioredoxin	25 µg/L
TTN	Titin	25 µg/L
CSRP1	Cysteine and glycine rich protein 1	25 µg/L
RTN4RL2	Reticulon 4 receptor like 2	25 µg/L
NAP1L1	Nucleosome assembly protein 1 like 1	25 µg/L
MARCO	Macrophage receptor with collagenous structure	24 µg/L
CHGB	Chromogranin B	24 µg/L
CGN	Cingulin	24 µg/L
EPHA1	EPH receptor A1	24 µg/L
MEPE	Matrix extracellular phosphoglycoprotein	24 µg/L
ARPC2	Actin related protein 2/3 complex subunit 2	24 µg/L
MAPRE2	Microtubule associated protein RP/EB family member 2	24 µg/L
ADGRF5	Adhesion G protein-coupled receptor F5	23 µg/L
GSS	Glutathione synthetase	23 µg/L
SNCA	Synuclein alpha	23 µg/L
HPD	4-hydroxyphenylpyruvate dioxygenase	23 µg/L
ITGA5	Integrin subunit alpha 5	23 µg/L
FBP1	Fructose-bisphosphatase 1	23 µg/L
GM2A	GM2 ganglioside activator	23 µg/L
COL15A1	Collagen type XV alpha 1 chain	23 µg/L
CDH1	Cadherin 1	22 µg/L
EIF3L	Eukaryotic translation initiation factor 3 subunit L	22 µg/L
ADAMDEC1	ADAM like decysin 1	22 µg/L
RPS15A	Ribosomal protein S15a	22 µg/L
PSMA5	Proteasome subunit alpha 5	22 µg/L
IGFBP1	Insulin like growth factor binding protein 1	22 µg/L
IL6R	Interleukin 6 receptor	22 µg/L
REG3A	Regenerating family member 3 alpha	22 µg/L
SMPDL3A	Sphingomyelin phosphodiesterase acid like 3A	22 µg/L
THBS2	Thrombospondin 2	22 µg/L
ARPC4	Actin related protein 2/3 complex subunit 4	22 µg/L
GHR	Growth hormone receptor	21 µg/L
IL1R2	Interleukin 1 receptor type 2	21 µg/L
TMOD3	Tropomodulin 3	21 µg/L
UNC45A	Unc-45 myosin chaperone A	21 µg/L
OSMR	Oncostatin M receptor	21 µg/L
COL1A2	Collagen type I alpha 2 chain	21 µg/L
OXSR1	Oxidative stress responsive 1	21 µg/L
PGM1	Phosphoglucomutase 1	20 µg/L
PLA2G15	Phospholipase A2 group XV	20 µg/L
EMILIN1	Elastin microfibril interfacer 1	20 µg/L
EXT2	Exostosin glycosyltransferase 2	20 µg/L
LCN1	Lipocalin 1	20 µg/L
KRT82	Keratin 82	20 µg/L
MYL1	Myosin light chain 1	20 µg/L
CLIC4	Chloride intracellular channel 4	20 µg/L
NECTIN3	Nectin cell adhesion molecule 3	20 µg/L
SRC	"SRC proto-oncogene, non-receptor tyrosine kinase"	20 µg/L
MYH6	Myosin heavy chain 6	20 µg/L
HEXA	Hexosaminidase subunit alpha	20 µg/L
CCL16	C-C motif chemokine ligand 16	20 µg/L
VIM	Vimentin	19 µg/L
ACADVL	Acyl-CoA dehydrogenase very long chain	19 µg/L
LGALS1	Galectin 1	19 µg/L
PSMA6	Proteasome subunit alpha 6	19 µg/L
CEACAM5	Carcinoembryonic antigen related cell adhesion molecule 5	19 µg/L
CTSC	Cathepsin C	19 µg/L
EHD1	EH domain containing 1	19 µg/L
PRDX5	Peroxiredoxin 5	19 µg/L
STX11	Syntaxin 11	19 µg/L
RAB1A	"RAB1A, member RAS oncogene family"	19 µg/L
FLG2	Filaggrin family member 2	19 µg/L
ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5	19 µg/L
ENDOD1	Endonuclease domain containing 1	19 µg/L
CTSS	Cathepsin S	19 µg/L
KCTD12	Potassium channel tetramerization domain containing 12	19 µg/L
CAPZA2	Capping actin protein of muscle Z-line alpha subunit 2	19 µg/L
CCL14	C-C motif chemokine ligand 14	19 µg/L
FHL1	Four and a half LIM domains 1	18 µg/L
CTSA	Cathepsin A	18 µg/L
NOTCH3	Notch 3	18 µg/L
GGT5	Gamma-glutamyltransferase 5	18 µg/L
GNB4	G protein subunit beta 4	18 µg/L
GLIPR2	GLI pathogenesis related 2	18 µg/L
DSC1	Desmocollin 1	18 µg/L
TIMD4	T cell immunoglobulin and mucin domain containing 4	18 µg/L
CAST	Calpastatin	18 µg/L
LAMB2	Laminin subunit beta 2	18 µg/L
LILRA6	Leukocyte immunoglobulin like receptor A6	18 µg/L
SIGLEC14	Sialic acid binding Ig like lectin 14	18 µg/L
CPA1	Carboxypeptidase A1	17 µg/L
PYGL	Glycogen phosphorylase L	17 µg/L
MAPRE1	Microtubule associated protein RP/EB family member 1	17 µg/L
FCGRT	Fc fragment of IgG receptor and transporter	17 µg/L
MYH3	Myosin heavy chain 3	17 µg/L
DBN1	Drebrin 1	17 µg/L
CTSL	Cathepsin L	17 µg/L
S100A7	S100 calcium binding protein A7	17 µg/L
SCGB1A1	Secretoglobin family 1A member 1	17 µg/L
CSF1	Colony stimulating factor 1	17 µg/L
MARCKS	Myristoylated alanine rich protein kinase C substrate	17 µg/L
TYMP	Thymidine phosphorylase	16 µg/L
RNASET2	Ribonuclease T2	16 µg/L
FKBP1A	FK506 binding protein 1A	16 µg/L
DLD	Dihydrolipoamide dehydrogenase	16 µg/L
PYGB	Glycogen phosphorylase B	16 µg/L
LAMTOR3	"Late endosomal/lysosomal adaptor, MAPK and MTOR activator 3"	16 µg/L
ACAT2	Acetyl-CoA acetyltransferase 2	16 µg/L
07-Sep	Septin 7	16 µg/L
DSTN	"Destrin, actin depolymerizing factor"	16 µg/L
UBA1	Ubiquitin like modifier activating enzyme 1	16 µg/L
IDH1	"Isocitrate dehydrogenase (NADP(+)) 1, cytosolic"	16 µg/L
ESD	Esterase D	16 µg/L
DPEP3	Dipeptidase 3	16 µg/L
HK1	Hexokinase 1	16 µg/L
CRELD1	Cysteine rich with EGF like domains 1	16 µg/L
RAB8A	"RAB8A, member RAS oncogene family"	16 µg/L
COL3A1	Collagen type III alpha 1 chain	16 µg/L
ARHGAP1	Rho GTPase activating protein 1	16 µg/L
ANXA2	Annexin A2	16 µg/L
BCAM	Basal cell adhesion molecule (Lutheran blood group)	16 µg/L
ADH1B	"Alcohol dehydrogenase 1B (class I), beta polypeptide"	16 µg/L
MPO	Myeloperoxidase	15 µg/L
DKK3	Dickkopf WNT signaling pathway inhibitor 3	15 µg/L
NUCB1	Nucleobindin 1	15 µg/L
APOA5	Apolipoprotein A5	15 µg/L
MGP	Matrix Gla protein	15 µg/L
STC2	Stanniocalcin 2	15 µg/L
NRP2	Neuropilin 2	15 µg/L
ARG1	Arginase 1	15 µg/L
CEACAM8	Carcinoembryonic antigen related cell adhesion molecule 8	15 µg/L
PSMB2	Proteasome subunit beta 2	15 µg/L
CALU	Calumenin	15 µg/L
DBNL	Drebrin like	15 µg/L
CHAD	Chondroadherin	15 µg/L
APP	Amyloid beta precursor protein	15 µg/L
PSMB4	Proteasome subunit beta 4	15 µg/L
MYL3	Myosin light chain 3	15 µg/L
ARPC5	Actin related protein 2/3 complex subunit 5	15 µg/L
SNED1	"Sushi, nidogen and EGF like domains 1"	15 µg/L
HPRT1	Hypoxanthine phosphoribosyltransferase 1	15 µg/L
GPT	Glutamic--pyruvic transaminase	15 µg/L
AGRN	Agrin	15 µg/L
INF2	"Inverted formin, FH2 and WH2 domain containing"	15 µg/L
PSMB1	Proteasome subunit beta 1	14 µg/L
TFRC	Transferrin receptor	14 µg/L
RAB10	"RAB10, member RAS oncogene family"	14 µg/L
UNC13D	Unc-13 homolog D	14 µg/L
JAG1	Jagged 1	14 µg/L
MSLN	Mesothelin	14 µg/L
SERPINE1	Serpin family E member 1	14 µg/L
TGM3	Transglutaminase 3	14 µg/L
OMD	Osteomodulin	14 µg/L
SH3BGRL	SH3 domain binding glutamate rich protein like	14 µg/L
DSC2	Desmocollin 2	14 µg/L
IL18BP	Interleukin 18 binding protein	14 µg/L
PRDX3	Peroxiredoxin 3	14 µg/L
PMEL	Premelanosome protein	14 µg/L
TXNDC5	Thioredoxin domain containing 5	14 µg/L
MIF	Macrophage migration inhibitory factor	14 µg/L
TWF2	Twinfilin actin binding protein 2	14 µg/L
LMAN1	"Lectin, mannose binding 1"	13 µg/L
PSMA3	Proteasome subunit alpha 3	13 µg/L
RTN4	Reticulon 4	13 µg/L
LTBP2	Latent transforming growth factor beta binding protein 2	13 µg/L
TGFB1I1	Transforming growth factor beta 1 induced transcript 1	13 µg/L
NTRK2	Neurotrophic receptor tyrosine kinase 2	13 µg/L
PTPRK	"Protein tyrosine phosphatase, receptor type K"	13 µg/L
IHH	Indian hedgehog	13 µg/L
TPP1	Tripeptidyl peptidase 1	13 µg/L
GLRX	Glutaredoxin	13 µg/L
PNLIP	Pancreatic lipase	13 µg/L
TCN2	Transcobalamin 2	13 µg/L
S100A4	S100 calcium binding protein A4	13 µg/L
MYOC	Myocilin	12 µg/L
PSMA4	Proteasome subunit alpha 4	12 µg/L
PYGM	"Glycogen phosphorylase, muscle associated"	12 µg/L
SNAP23	Synaptosome associated protein 23	12 µg/L
PSMD5	"Proteasome 26S subunit, non-ATPase 5"	12 µg/L
MANBA	Mannosidase beta	12 µg/L
TREH	Trehalase	12 µg/L
LDLR	Low density lipoprotein receptor	12 µg/L
COL5A1	Collagen type V alpha 1 chain	12 µg/L
PDIA4	Protein disulfide isomerase family A member 4	12 µg/L
CBR1	Carbonyl reductase 1	12 µg/L
G6PD	Glucose-6-phosphate dehydrogenase	12 µg/L
NEXN	Nexilin F-actin binding protein	12 µg/L
FOLR2	Folate receptor beta	12 µg/L
PCBP1	Poly(rC) binding protein 1	12 µg/L
UGP2	UDP-glucose pyrophosphorylase 2	12 µg/L
ADH1A	"Alcohol dehydrogenase 1A (class I), alpha polypeptide"	12 µg/L
LY6G6F	Lymphocyte antigen 6 family member G6F	12 µg/L
MAN2B2	Mannosidase alpha class 2B member 2	11 µg/L
SERPINB3	Serpin family B member 3	11 µg/L
PRKAR1A	Protein kinase cAMP-dependent type I regulatory subunit alpha	11 µg/L
ART4	ADP-ribosyltransferase 4 (Dombrock blood group)	11 µg/L
TNN	Tenascin N	11 µg/L
HNRNPA2B1	Heterogeneous nuclear ribonucleoprotein A2/B1	11 µg/L
PRDX4	Peroxiredoxin 4	11 µg/L
CILP	Cartilage intermediate layer protein	11 µg/L
NTRK3	Neurotrophic receptor tyrosine kinase 3	11 µg/L
GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2	11 µg/L
RAB6B	"RAB6B, member RAS oncogene family"	11 µg/L
CILP2	Cartilage intermediate layer protein 2	11 µg/L
S100A11	S100 calcium binding protein A11	11 µg/L
DCBLD1	"Discoidin, CUB and LCCL domain containing 1"	11 µg/L
ECI1	Enoyl-CoA delta isomerase 1	11 µg/L
INHBC	Inhibin beta C subunit	11 µg/L
AKR1C3	Aldo-keto reductase family 1 member C3	11 µg/L
LYN	"LYN proto-oncogene, Src family tyrosine kinase"	11 µg/L
ERP44	Endoplasmic reticulum protein 44	10 µg/L
CBLN4	Cerebellin 4 precursor	10 µg/L
SAR1A	Secretion associated Ras related GTPase 1A	10 µg/L
DNM1L	Dynamin 1 like	10 µg/L
CTSH	Cathepsin H	10 µg/L
SMC3	Structural maintenance of chromosomes 3	10 µg/L
FAM20A	"FAM20A, golgi associated secretory pathway pseudokinase"	10 µg/L
PTK7	Protein tyrosine kinase 7 (inactive)	10 µg/L
06-Sep	Septin 6	10 µg/L
ASL	Argininosuccinate lyase	10 µg/L
APOL2	Apolipoprotein L2	10 µg/L
PGLS	6-phosphogluconolactonase	10 µg/L
DIAPH1	Diaphanous related formin 1	10 µg/L
HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	10 µg/L
RALB	RAS like proto-oncogene B	10 µg/L
NRGN	Neurogranin	10 µg/L
NBL1	"Neuroblastoma 1, DAN family BMP antagonist"	10 µg/L
HSPA4	Heat shock protein family A (Hsp70) member 4	10 µg/L
RAB14	"RAB14, member RAS oncogene family"	9.9 µg/L
TGOLN2	Trans-golgi network protein 2	9.8 µg/L
THY1	Thy-1 cell surface antigen	9.8 µg/L
FCER1G	Fc fragment of IgE receptor Ig	9.8 µg/L
LGALSL	Galectin like	9.7 µg/L
LYPD3	LY6/PLAUR domain containing 3	9.7 µg/L
EEF2	Eukaryotic translation elongation factor 2	9.7 µg/L
HPSE	Heparanase	9.7 µg/L
ADH1C	"Alcohol dehydrogenase 1C (class I), gamma polypeptide"	9.7 µg/L
SLC9A3R1	SLC9A3 regulator 1	9.6 µg/L
FOLR3	Folate receptor 3	9.6 µg/L
KLHL12	Kelch like family member 12	9.6 µg/L
EXT1	Exostosin glycosyltransferase 1	9.6 µg/L
CDON	"Cell adhesion associated, oncogene regulated"	9.4 µg/L
UBA2	Ubiquitin like modifier activating enzyme 2	9.4 µg/L
CSF2RA	Colony stimulating factor 2 receptor alpha subunit	9.4 µg/L
VDAC3	Voltage dependent anion channel 3	9.3 µg/L
PLIN3	Perilipin 3	9.3 µg/L
BHMT	Betaine--homocysteine S-methyltransferase	9.2 µg/L
RDH11	Retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	9.1 µg/L
CCT2	Chaperonin containing TCP1 subunit 2	9.1 µg/L
RAB7A	"RAB7A, member RAS oncogene family"	9.0 µg/L
PHGDH	Phosphoglycerate dehydrogenase	9.0 µg/L
HSPE1	Heat shock protein family E (Hsp10) member 1	9.0 µg/L
GNAI1	G protein subunit alpha i1	9.0 µg/L
FTH1	Ferritin heavy chain 1	9.0 µg/L
IDS	Iduronate 2-sulfatase	8.9 µg/L
CD276	CD276 molecule	8.9 µg/L
XPNPEP2	X-prolyl aminopeptidase 2	8.9 µg/L
COL6A2	Collagen type VI alpha 2 chain	8.9 µg/L
PIP4K2A	Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	8.8 µg/L
02-Sep	Septin 2	8.8 µg/L
UBE2L3	Ubiquitin conjugating enzyme E2 L3	8.8 µg/L
HADH	Hydroxyacyl-CoA dehydrogenase	8.7 µg/L
NIF3L1	NGG1 interacting factor 3 like 1	8.7 µg/L
PSME1	Proteasome activator subunit 1	8.6 µg/L
PIK3IP1	Phosphoinositide-3-kinase interacting protein 1	8.6 µg/L
SERPINB12	Serpin family B member 12	8.5 µg/L
GNAI3	G protein subunit alpha i3	8.4 µg/L
EPHA4	EPH receptor A4	8.4 µg/L
IQGAP2	IQ motif containing GTPase activating protein 2	8.4 µg/L
AHSP	Alpha hemoglobin stabilizing protein	8.4 µg/L
SACM1L	SAC1 like phosphatidylinositide phosphatase	8.4 µg/L
LEPR	Leptin receptor	8.3 µg/L
TEK	TEK receptor tyrosine kinase	8.3 µg/L
PSMB5	Proteasome subunit beta 5	8.2 µg/L
RAD23B	"RAD23 homolog B, nucleotide excision repair protein"	8.2 µg/L
PCMT1	Protein-L-isoaspartate (D-aspartate) O-methyltransferase	8.2 µg/L
ADAM10	ADAM metallopeptidase domain 10	8.2 µg/L
RPN1	Ribophorin I	8.2 µg/L
CCL5	C-C motif chemokine ligand 5	8.2 µg/L
AKR1A1	Aldo-keto reductase family 1 member A1	8.1 µg/L
NOTCH1	Notch 1	8.1 µg/L
PPP1CA	Protein phosphatase 1 catalytic subunit alpha	8.1 µg/L
RASA3	RAS p21 protein activator 3	8.1 µg/L
PSME2	Proteasome activator subunit 2	8.0 µg/L
ACO1	Aconitase 1	8.0 µg/L
TAGLN	Transgelin	8.0 µg/L
SCGB3A1	Secretoglobin family 3A member 1	8.0 µg/L
IVL	Involucrin	8.0 µg/L
NME3	NME/NM23 nucleoside diphosphate kinase 3	7.9 µg/L
SPINK1	"Serine peptidase inhibitor, Kazal type 1"	7.9 µg/L
ADGRG2	Adhesion G protein-coupled receptor G2	7.9 µg/L
FAT4	FAT atypical cadherin 4	7.9 µg/L
CCL15	C-C motif chemokine ligand 15	7.9 µg/L
SLC25A5	Solute carrier family 25 member 5	7.8 µg/L
HMCN2	Hemicentin 2	7.7 µg/L
PPP1CB	Protein phosphatase 1 catalytic subunit beta	7.7 µg/L
GPD2	Glycerol-3-phosphate dehydrogenase 2	7.6 µg/L
PPP1CC	Protein phosphatase 1 catalytic subunit gamma	7.6 µg/L
PDLIM7	PDZ and LIM domain 7	7.6 µg/L
BPIFB1	BPI fold containing family B member 1	7.5 µg/L
EPB42	Erythrocyte membrane protein band 4.2	7.5 µg/L
CES2	Carboxylesterase 2	7.5 µg/L
DMBT1	Deleted in malignant brain tumors 1	7.5 µg/L
TPSB2	Tryptase beta 2 (gene/pseudogene)	7.5 µg/L
PTPN6	"Protein tyrosine phosphatase, non-receptor type 6"	7.4 µg/L
KDR	Kinase insert domain receptor	7.4 µg/L
ANXA3	Annexin A3	7.4 µg/L
SEC11A	"SEC11 homolog A, signal peptidase complex subunit"	7.4 µg/L
ABRACL	ABRA C-terminal like	7.4 µg/L
CCT6A	Chaperonin containing TCP1 subunit 6A	7.4 µg/L
ERAP2	Endoplasmic reticulum aminopeptidase 2	7.4 µg/L
MPIG6B	Megakaryocyte and platelet inhibitory receptor G6b	7.4 µg/L
LTBP4	Latent transforming growth factor beta binding protein 4	7.3 µg/L
ALPL	"Alkaline phosphatase, liver/bone/kidney"	7.3 µg/L
CRYZ	Crystallin zeta	7.2 µg/L
MGAT1	"Mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"	7.2 µg/L
SLC25A6	Solute carrier family 25 member 6	7.2 µg/L
RAB6A	"RAB6A, member RAS oncogene family"	7.2 µg/L
